numid,network_name,station_id,station_name,station_country,station_type,station_type_of_area,station_alt,station_google_alt,station_etopo_relative_alt,station_population_density,station_max_population_density_5km,station_max_population_density_25km,station_nightlight_1km,station_nightlight_5km,station_max_nightlight_25km,station_htap_region,station_climatic_zone,station_dominant_landcover,station_landcover_description,station_nox_emissions,station_omi_no2_column,station_toar_category,station_wheat_production,data_capture,mean,dma8epa,dma8epa_strict,dma8epax,dma8epax_strict,dma8eu,dma8eu_strict,avgdma8epax,p05,p10,p25,p75,p90,p95,p98,aot40,daylight_aot40,w126,w126_24h,daytime_avg,nighttime_avg,count,AOT40,AOT0,iso_a2,name_long,continent,region_un,subregion,type,area_km2,pop,lifeExp,gdpPercap,geometry
3339,UBA,DENW094,Aachen-Burtscheid,Germany,background,urban,205,200,66,14514,20125,26839,48,46.87,62,4,3,5,"Mixed forest: 32.8 %, Cropland/Natural vegetation mosaic: 29.2 %, Urban and built-up: 16.5 %, Croplands: 15.9 %, Grasslands: 3.5 %, Evergreen Needleleaf forest: 1.9 %",4.94152,7.06,0,0.959,0.927712912088,31.0115178666,64.8627899554,64.4478571429,64.8501265625,64.7574765625,48.50405625,48.0214339286,42.9288726104,7.67134125,12.043226625,21.032234375,40.1641,49.3603675,55.785988125,63.17829675,4642.04576723,4730.18175564,4567.34348986,5253.21479465,38.2450521071,23.2499966797,8,4.64204576723,41.304656275668,Europe,Belgium,Europe,Europe,Western Europe,Sovereign country,30126.0378859233,11209057,81.2878048780488,41360.3955755286,6.093923|50.754704
3340,UBA,DENW067,Bielefeld-Ost,Germany,background,urban,102,106,29,16176,16191,16191,60,54.3,62,4,3,13,"Croplands: 38.6 %, Cropland/Natural vegetation mosaic: 32.5 %, Urban and built-up: 16.4 %, Mixed forest: 11.4 %",14.1422,5.23,0,2.332,0.928399725275,27.774284515,57.2171618304,56.7259098214,57.2171618304,56.7972582589,44.2932435268,43.5420926339,38.1941371949,4.03776949375,9.808366375,19.204690625,36.211978125,44.2648425,49.8960975,55.698699,2553.01443552,2556.71251417,2334.24747898,2833.86584844,32.8706700009,22.3426628938,8,2.55301443552,35.500323600972,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,8.548389|52.023169
3341,UBA,DENW081,Borken-Gemen,Germany,background,rural,45,45,8,3566,3569,12635,48,24.14,58,4,3,14,"Cropland/Natural vegetation mosaic: 55.4 %, Mixed forest: 18.5 %, Croplands: 15.2 %, Urban and built-up: 9.8 %",2.20977,7.99,0,2.954,0.930746336996,31.1565615936,66.1757296875,65.5067078125,66.1757296875,66.1024859375,48.9855091518,48.7877560268,43.6716835412,6.250766625,11.29150125,21.046940625,40.604896875,49.7971825,56.32872375,64.2534735,5102.29692657,5141.86813651,5026.43832954,5669.0388028,39.1690945443,22.7428224512,8,5.10229692657,42.302622107844,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,6.874554|51.862
3342,UBA,DENW021,Bottrop-Welheim,Germany,industrial,urban,40,31,6,20282,34286,39682,61,60.95,63,4,3,13,"Urban and built-up: 47.2 %, Mixed forest: 23.7 %, Cropland/Natural vegetation mosaic: 12.5 %, Croplands: 8.6 %, Evergreen Needleleaf forest: 6.1 %",19.9934,10.48,3,0.649,0.937271062271,26.8106310315,63.040315625,62.7062,63.040315625,62.7062,45.82289375,45.4936573661,39.9093803812,1.79128681875,5.15055075,15.5325,36.8099125,46.74671875,53.31461,61.10659325,3623.18293223,3668.07083822,3581.32947347,4033.69109711,34.676837619,18.3271520882,8,3.62318293223,37.45098462852,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,6.976908|51.525963
3343,UBA,DENW008,Dortmund-Eving,Germany,background,urban,75,68,6,27057,27082,39682,62,59.77,63,4,3,13,"Urban and built-up: 41.1 %, Mixed forest: 23.7 %, Croplands: 20.8 %, Cropland/Natural vegetation mosaic: 11.7 %, Evergreen Needleleaf forest: 1.9 %",17.1243,9.12,3,2.183,0.939102564102,26.7589415659,60.4210823661,60.2339823661,60.4210823661,60.3310526786,45.7577918899,45.5590892857,39.8012349705,1.7270537375,5.253499125,15.79038125,36.93040625,46.65106,52.729764375,59.82062775,3515.96974522,3546.70512036,3254.75359753,3625.11214929,34.7378562589,18.3427689241,8,3.51596974522,37.516884759612,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,7.457463|51.536911
3347,UBA,DENW058,Hﾃｼrth,Germany,industrial,suburban,90,92,20,9046,13039,31661,58,54.24,63,4,3,13,"Urban and built-up: 47.3 %, Croplands: 32.7 %, Mixed forest: 13.9 %, Cropland/Natural vegetation mosaic: 4.0 %, Evergreen Needleleaf forest: 1.4 %",6.39128,9.03,0,5.025,0.949690934066,28.8588249329,62.6862948661,62.4524046875,62.6862948661,62.2620089286,47.2109919643,46.7580332589,40.8133716671,5.2839754375,9.69643125,18.18633125,38.345875,47.71397,54.28192125,61.90673475,3962.60957633,4010.34381765,3918.77425107,4489.04122996,35.6375906403,21.8448278769,8,3.96260957633,38.488597891524,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,6.873789|50.876121
3348,UBA,DENW042,Krefeld-Linn,Germany,background,urban,32,34,5,16721,22153,36502,55,54.69,63,4,1,13,"Urban and built-up: 42.4 %, Croplands: 29.3 %, Cropland/Natural vegetation mosaic: 12.2 %, Mixed forest: 10.2 %, Evergreen Needleleaf forest: 4.9 %",12.121,11.79,0,6.621,0.933990036232,24.8742426465,57.476378125,57.476378125,57.476378125,55.8264232143,42.3787102679,42.1236129464,36.4229103278,1.09167545,3.448882125,13.5625125,34.962125,43.36843625,49.75324875,57.04426575,2420.61710261,2413.97605027,2360.68154913,2763.79658709,30.9509599388,18.1441104756,7,2.42061710261,33.427036733904,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,6.640242|51.337669
3351,UBA,DENW079,Leverkusen-Manfort,Germany,background,suburban,50,50,9,28743,31605,34559,61,57.44,63,4,3,13,"Urban and built-up: 47.0 %, Mixed forest: 30.5 %, Cropland/Natural vegetation mosaic: 9.9 %, Croplands: 9.6 %, Evergreen Needleleaf forest: 2.0 %",18.8597,9.67,3,2.483,0.950263278388,23.881699665,61.4241578125,61.383184375,61.4241578125,61.3956953125,44.6782109375,44.5573296875,38.2830104099,0.327967685625,1.293413225,10.4540025,35.0769375,45.41216,52.517813125,60.5811555,3322.04131972,3350.00961761,3313.54378137,3622.09511772,32.7162097859,14.473122061,8,3.32204131972,35.333506568772,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,7.005063|51.028879
3352,UBA,DENW006,Lﾃｼnen-Niederaden,Germany,background,suburban,58,58,5,26975,27057,38108,35,42.7,63,4,3,12,"Urban and built-up: 36.4 %, Croplands: 32.9 %, Mixed forest: 16.5 %, Cropland/Natural vegetation mosaic: 12.4 %, Evergreen Needleleaf forest: 1.1 %",13.9379,7.95,0,2.776,0.942021520147,27.2692109802,62.593175,62.3044515625,62.593175,62.3044515625,47.5042375,46.9925658482,40.9643779217,0.82082170625,3.07416725,15.34786875,38.31981875,47.85217875,53.6779775,60.63502825,3652.29234066,3690.45426915,3428.55497305,4082.66101809,34.6739570628,19.3562298492,8,3.65229234066,37.447873627824,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,7.569838|51.592206
3353,UBA,DENW015,Marl-Sickingmﾃｼhle,Germany,background,suburban,42,35,1,10971,10981,39682,45,34.7,62,4,3,13,"Urban and built-up: 33.4 %, Cropland/Natural vegetation mosaic: 24.7 %, Mixed forest: 22.8 %, Croplands: 16.0 %, Evergreen Needleleaf forest: 2.0 %",40.3277,9.97,0,1.685,0.954727564102,28.7011737822,64.4192727679,64.1377321429,64.4192727679,64.1377321429,48.5742046875,48.5665625,42.4334454566,0.9629315875,4.616396625,17.940553125,39.29639375,49.132685,55.542496875,63.14127225,4589.49261481,4632.19908066,4549.65016688,5097.2848016,37.4011794067,19.5089892851,8,4.58949261481,40.393273759236,Europe,Germany,Europe,Europe,Western Europe,Sovereign country,357430.341206566,80982500,81.090243902439,43560.6192440775,7.122713|51.69896
